,BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
0,1,1300,       70053,       68400,HomeImp,Other,           7,           0,           2,121.83333333,           0,          14,
1,0,1700,       97800,      112000,HomeImp,Office,           3,           0,           0,93.333333333,           0,          14,
2,1,1700,       30548,       40320,HomeImp,Other,           9,           0,           0,101.46600191,           1,           8,37.113613558
3,1,2000,       22608,,,,          18,,,,,,
4,1,2000,       45000,       55000,HomeImp,Other,           3,           0,           0,86.066666667,           2,          25,
5,1,2100,       71000,       83850,HomeImp,Other,           8,           0,           1,         123,           0,          16,
6,1,2200,       23030,,,,          19,,,,,,3.7113122995
7,1,2300,       28192,       40150,HomeImp,Other,         4.5,           0,           0,        54.6,           1,          16,
8,1,2300,       37626,       46200,HomeImp,Other,           3,           0,           1,122.26666667,           1,          14,
9,1,2400,       34863,       47471,HomeImp,Mgr,          12,           0,           0,70.491080032,           1,          21,38.263600731
10,0,2400,       98449,      117195,HomeImp,Office,           4,           0,           0,93.811774855,           0,          13,29.681827045
11,0,2500,       71408,       78600,HomeImp,ProfExe,           8,           0,           0,255.73333333,           0,          12,
12,1,2800,        4000,       60850,HomeImp,Other,          16,           4,           0,112.63333333,           2,           9,
13,1,2900,       78600,      113000,DebtCon,ProfExe,           6,           1,           0,165.33333333,           2,          26,
14,0,3000,      104570,      121729,HomeImp,Office,           2,           0,           0,85.884371895,           0,          14,32.059783267
15,1,3000,,       33000,HomeImp,Other,           1,           0,           1,        23.3,           1,           2,
16,1,3000,       20000,       29750,DebtCon,Other,           2,           0,           0,187.06666667,           0,          12,
17,1,3000,,       14500,HomeImp,Other,           3,           0,           0,         9.3,          14,           2,
18,0,3100,,       70400,,,,,,,,,
19,1,3200,       23159,,HomeImp,Mgr,          20,,           2,117.80574784,           0,           9,0.5244992154
20,1,3600,       61584,       61800,HomeImp,ProfExe,          10,,,,,,
21,1,3600,       41900,       52490,HomeImp,Mgr,           3,           0,           0,72.033333333,           2,           4,
22,0,3600,       61327,       76484,HomeImp,Mgr,           9,,           2,202.51077515,           0,          25,41.516389699
23,0,3600,      100693,      114743,HomeImp,Office,           6,           0,           0,88.470452135,           0,          14,29.393543382
24,1,3800,       19135,       97692,HomeImp,Mgr,         1.6,           1,           6,252.63333333,           1,          25,
25,1,3900,       29896,       45960,HomeImp,Other,          11,           0,           0,146.12324219,           0,          14,24.478881191
26,1,4000,       17000,       52012,HomeImp,ProfExe,          22,           3,           1,85.333333333,           1,           9,
27,1,4000,       41700,       76725,HomeImp,Other,         0.5,           0,           3,136.13333333,           0,          15,
28,1,4000,       58000,       69440,HomeImp,Other,         3.5,           0,           1,168.66666667,           0,          18,
29,0,4000,       66000,       79050,HomeImp,Other,         1.8,           2,           0,         279,           1,           6,
30,1,4000,       74000,       93000,HomeImp,ProfExe,         2.6,           1,           3,186.63333333,,           9,
31,1,4100,       58500,       65000,HomeImp,Other,           8,           1,           2,63.933333333,           2,          15,
32,0,4100,       57992,       63797,DebtCon,ProfExe,           7,           0,           4,165.50503695,           1,          31, 22.27817437
