,Unnamed: 0,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
0,146,"[4808, 6562)","[46689, 54034)","[59908, 76844)",DebtCon,Mgr,"[6, 7)",nan,4,"[93, 116)",1,10,"[37, 40)"
1,131,"[4808, 6562)","[46689, 54034)","[59908, 76844)",DebtCon,Mgr,"[7, 8)",nan,4,"[93, 116)",2,11,nan
2,144,"[4808, 6562)","[61379, 68724)","[59908, 76844)",DebtCon,Mgr,"[0, 1)",2,0,"[70, 93)",1,12,nan
3,59,"[4808, 6562)","[68724, 76070)","[76844, 93780)",DebtCon,Mgr,"[19, 20)",0,1,"[280, 303)",1,24,nan
4,112,"[4808, 6562)","[105450, 112795)",nan,DebtCon,Mgr,"[1, 2)",0,6,"[233, 257)",4,23,nan
5,272,"[6562, 8316)","[39344, 46689)","[42972, 59908)",DebtCon,Mgr,"[4, 5)",0,0,"[187, 210)",1,22,nan
6,195,"[6562, 8316)","[46689, 54034)","[59908, 76844)",DebtCon,Mgr,"[7, 8)",1,1,"[70, 93)",4,18,nan
7,172,"[6562, 8316)","[46689, 54034)","[59908, 76844)",DebtCon,Mgr,"[7, 8)",nan,4,"[116, 140)",3,10,"[37, 40)"
8,263,"[6562, 8316)","[54034, 61379)","[59908, 76844)",DebtCon,Mgr,"[22, 23)",0,4,"[210, 233)",1,20,nan
9,268,"[6562, 8316)","[68724, 76070)","[76844, 93780)",DebtCon,Mgr,"[8, 9)",0,0,"[93, 116)",0,23,nan
10,178,"[6562, 8316)","[68724, 76070)","[76844, 93780)",DebtCon,Mgr,"[19, 20)",0,1,"[280, 303)",0,23,"[37, 40)"
11,301,"[6562, 8316)","[76070, 83415)","[93780, 110717)",DebtCon,Mgr,"[1, 2)",0,0,"[70, 93)",1,24,"[37, 40)"
12,485,"[8316, 10070)","[24654, 31999)","[42972, 59908)",DebtCon,Mgr,nan,nan,nan,nan,nan,nan,nan
13,354,"[8316, 10070)","[46689, 54034)","[59908, 76844)",DebtCon,Mgr,"[7, 8)",nan,3,"[93, 116)",2,10,"[37, 40)"
14,404,"[8316, 10070)","[46689, 54034)","[59908, 76844)",DebtCon,Mgr,"[11, 12)",0,0,"[116, 140)",1,19,"[31, 34)"
15,333,"[8316, 10070)","[46689, 54034)","[59908, 76844)",DebtCon,Mgr,"[13, 14)",0,0,"[116, 140)",0,18,"[28, 31)"
16,359,"[8316, 10070)","[54034, 61379)","[59908, 76844)",DebtCon,Mgr,"[5, 6)",nan,4,"[116, 140)",2,11,"[37, 40)"
17,472,"[8316, 10070)","[54034, 61379)","[59908, 76844)",DebtCon,Mgr,"[6, 7)",nan,4,"[93, 116)",2,11,"[40, 43)"
18,430,"[8316, 10070)","[54034, 61379)","[59908, 76844)",DebtCon,Mgr,"[6, 7)",nan,4,"[116, 140)",1,11,"[37, 40)"
19,410,"[8316, 10070)","[54034, 61379)","[59908, 76844)",DebtCon,Mgr,"[6, 7)",nan,nan,"[93, 116)",nan,23,"[40, 43)"
20,474,"[8316, 10070)","[54034, 61379)","[59908, 76844)",DebtCon,Mgr,"[7, 8)",nan,3,"[93, 116)",1,11,"[37, 40)"
21,402,"[8316, 10070)","[61379, 68724)","[76844, 93780)",DebtCon,Mgr,"[10, 11)",0,0,"[116, 140)",2,24,nan
22,339,"[8316, 10070)","[68724, 76070)","[76844, 93780)",DebtCon,Mgr,"[10, 11)",0,0,"[93, 116)",0,23,"[28, 31)"
